e_issn,journal_title,license,publisher
1986-8049,Journal of Health Sciences,CC BY,University of Sarajevo
1986-8537,Biomedicinska istraživanja,CC BY,University of East Sarajevo
1988-0618,Revista Electrónica Iberoamericana,CC BY-NC-ND,Centro de Estudios de Iberoamérica de la Universidad Rey Juan Carlos y el Instituto Universitario de Estudios Internacionales y Europeos “Francisco de Vitoria” de la Universidad Carlos III de Madrid
1988-0847,Sortuz (Sortuz: Oñati Journal of Emergent Socio-Legal Studies),CC BY,Oñati International Institute for the Sociology of Law
1988-1088,Studia Aurea: Revista de Literatura Española y Teoría Literaria del Renacimiento y Siglo de Oro (Studia Aurea: Journal of Early Modern Spanish Literature and Literary Theory),CC BY,Universitat de Girona; Universitat Autònoma de Barcelona
1988-2041,"Retos: Nuevas Tendencias en Educación Física, Deportes y Recreación (Retos)",CC BY,FEADEF
1988-2157,Management Letters/Cuadernos de Gestión (Cuadernos de Gestión),CC BY-NC-ND,Universidad del País Vasco (UPV/EHU)
1988-2378,Anales de Geografía de la Universidad Complutense,CC BY,Universidad Complutense de Madrid
1988-2394,Cuadernos de Filología Italiana,CC BY,Universidad Complutense de Madrid
1988-2408,"Arte, Individuo y Sociedad",CC BY-NC-SA,Universidad Complutense de Madrid
1988-2475,Cuadernos de Historia Moderna,CC BY,Universidad Complutense de Madrid
1988-2491,Anales de Historia del Arte,CC BY,Universidad Complutense de Madrid
1988-2548,Didáctica (Lengua y Literatura) (DILL),CC BY-NC-ND,Universidad Complutense de Madrid
1988-2556,Dicenda (Dicenda: Estudios de Lengua y Literatura Españolas),CC BY,Ediciones Complutense
1988-2564,Anales del Seminario de Historia de la Filosofía,CC BY,Universidad Complutense de Madrid
1988-2572,Cuadernos de Relaciones Laborales,CC BY,Universidad Complutense de Madrid
1988-2645,Anaquel de Estudios Árabes,CC BY,Ediciones Complutense
1988-2696,Estudios sobre el Mensaje Periodístico,CC BY,Ediciones Complutense
1988-2734,Cuadernos de Historia Contemporánea,CC BY,Universidad Complutense de Madrid
1988-2793,Revista Complutense de Educación,CC BY-NC-ND,Universidad Complutense de Madrid
1988-2815,Revista de Filología Románica,CC BY,Universidad Complutense de Madrid
1988-2831,Revista de Antropología Social,CC BY,Universidad Complutense de Madrid
1988-284X,Revista de Filosofia,CC BY,Universidad Complutense de Madrid
1988-2890,Documentación de las Ciencias de la Información,CC BY,Universidad Complutense de Madrid
1988-2920,Foro Interno,CC BY,Universidad Complutense de Madrid
1988-2955,Al-Qantara : Revista de Estudios Arabes,CC BY,Consejo Superior de Investigaciones Científicas
1988-2971,En la España Medieval,CC BY,Universidad Complutense de Madrid
1988-303X,"Arbor: Ciencia, Pensamiento y Cultura",CC BY,Consejo Superior de Investigaciones Científicas
1988-3056,Historia y Comunicación Social,CC BY,Universidad Complutense de Madrid
1988-3064,Inteligencia Artificial (Revista Iberoamericana de Inteligencia Artificial),CC BY-NC,Asociación Española para la Inteligencia Artificial
1988-3080,Gerión (Revista de Historia Antigua),CC BY,Ediciones Complutense
1988-3102,Asclepio: Revista de Historia de la Medicina y de la Ciencia,CC BY,Consejo Superior de Investigaciones Científicas
1988-3110,Archivo Español de Arqueología,CC BY,Consejo Superior de Investigaciones Científicas
1988-3129,Política y Sociedad,CC BY,Universidad Complutense
1988-3145,Modelling in Science Education and Learning,CC BY-NC,Universitat Politècnica de València
1988-3188,Revista de Indias,CC BY,Consejo Superior de Investigaciones Científicas
1988-3196,Anales del Jardín Botánico de Madrid,CC BY,Consejo Superior de Investigaciones Científicas
1988-320X,Sefarad : Revista de Estudios Hebraicos y Sefardíes,CC BY,Consejo Superior de Investigaciones Científicas
1988-3218,Trabajos de Prehistoria,CC BY,Consejo Superior de Investigaciones Científicas
1988-3226,Materiales de Construccion,CC BY,Consejo Superior de Investigaciones Científicas
1988-3234,Informes de la Construccion,CC BY,Consejo Superior de Investigaciones Científicas
1988-3242,Logos,CC BY,Universidad Complutense de Madrid
1988-3250,Estudios Geologicos,CC BY,Consejo Superior de Investigaciones Científicas
1988-3307,Lazaroa (Journal of Botany),CC BY-NC-ND,Universidad Complutense de Madrid
1988-348X,ENE. Revista de Enfermería (ENE),CC BY-NC-SA,Ene
1988-3927,El Genio Maligno : Revista de Humanidades y Ciencias Sociales,CC BY-NC-SA,Asociación Cultural Cancro
1988-4001,Cuadernos de Información y Comunicación,CC BY,Universidad Complutense de Madrid
1988-4125,Anuario Musical,CC BY,Consejo Superior de Investigaciones Científicas
1988-4168,Gladius,CC BY,Consejo Superior de Investigaciones Científicas
1988-4192,Revista de Literatura,CC BY,Consejo Superior de Investigaciones Científicas
1988-4214,Grasas y Aceites,CC BY,Consejo Superior de Investigaciones Científicas
1988-4222,Revista de Metalurgia,CC BY,Consejo Superior de Investigaciones Científicas
1988-4230,Anuario de Estudios Medievales,CC BY,Consejo Superior de Investigaciones Científicas
1988-4265,Hispania Sacra,CC BY,Consejo Superior de Investigaciones Científicas
1988-4273,Anuario de Estudios Americanos,CC BY,Consejo Superior de Investigaciones Científicas
1988-4281,Pirineos: Revista de Ecología de Montaña,CC BY,Consejo Superior de Investigaciones Científicas
1988-429X,Revista Internacional de Sociología,CC BY,Consejo Superior de Investigaciones Científicas
1988-4621,Revista Española de Documentación Científica,CC BY,Consejo Superior de Investigaciones Científicas
1988-4672,Revista de Contabilidad: Spanish Accounting Review (RC-SAR),CC BY-NC-ND,Universidad de Murcia
1988-5105,Observar,CC BY-NC-ND,Universitat de Barcelona
1988-5202,Journal of Human Sport and Exercise (JHSE),CC BY-NC-ND,University of Alicante
1988-5733,Ámbitos (Ámbitos: Revista Internacional de Comunicación),CC BY-NC-SA,Editorial Universidad de Sevilla
1988-5911,Ikastorratza.e-Revista de Didáctica (Ikastorratza.e-journal on Didactics),CC BY-NC-SA,José Domingo Villarroel
1988-5946,Coolabah,CC BY,Universitat de Barcelona
1988-7213,E-RPH (Revista Electrónica de Patrimonio Histórico),CC BY-NC,Editorial Universidad de Granada
1988-7221,Revista de Paz y Conflictos,CC BY-NC,Universidad de Granada
1988-799X,Flora Montiberica,CC BY-NC-ND,Flora Montiberica.org
1988-8287,Psicooncologia,CC BY,Universidad Complutense de Madrid
1988-8295,Cuadernos de Trabajo Social,CC BY,Universidad Complutense de Madrid
1988-8309,"Arteterapia (Arteterapia, Papeles de Arteterapia y Educación Artística Para la Inclusión Social)",CC BY,Universidad Complutense de Madrid
1988-8325,Anales Cervantinos,CC BY,Consejo Superior de Investigaciones Científicas
1988-8333,Cuadernos de Estudios Gallegos,CC BY,Consejo Superior de Investigaciones Científicas
1988-8368,Hispania,CC BY,Consejo Superior de Investigaciones Científicas
1988-8376,Isegoría,CC BY,Consejo Superior de Investigaciones Científicas
1988-8384,Emerita,CC BY,Consejo Superior de Investigaciones Científicas
1988-8430,Tejuelo: Didáctica de la Lengua y la Literatura,CC BY-SA,Consejería de Educación
1988-8457,Revista de Dialectología y Tradiciones Populares,CC BY,Consejo Superior de Investigaciones Científicas
1988-8511,Archivo Español de Arte,CC BY,Consejo Superior de Investigaciones Científicas
1988-8538,Revista de Filología Española,CC BY,Consejo Superior de Investigaciones Científicas
1988-8546,Estudios Geográficos,CC BY,Consejo Superior de Investigaciones Científicas
1988-8732,Questiones Publicitarias (Internacional Journal of Advertising and Communication),CC BY,Universitat Autònoma de Barcelona
1988-8740,Revista de Teledetección,CC BY-NC-SA,Universitat Politécnica de Valencia
1988-8856,Revista Española de Cirugía Ortopédica y Traumatología,"CC BY, CC BY-NC-ND",Elsevier
1988-8996,Revista Estilos de Aprendizaje (Journal of Learning Styles),CC BY-NC-ND,Universidad Complutense de Madrid
1988-9011,Gestión Joven (Gestion Joven),CC BY-NC-SA,Asociación Española de Contabilidad y Administración de Empresas
1988-9046,Revista de Estudios Empresariales. Segunda Época (REE),"CC BY, CC BY-NC","Facultad de Ciencias Sociales y Jurídicas, Universidad de Jaén"
1988-9518,Revista Española de Quimioterapia,CC BY-NC,Sociedad Española de Quimioterapia
1989-0397,Revista Iberoamericana de Evaluación Educativa (Iberoamerican Journal of Educational Evaluation),CC BY-NC-ND,Universidad Autónoma de Madrid
1989-0494,Mediaciones Sociales (Mediaciones Sociales: Revista de Ciencias Sociales y de la Comunicación),CC BY,Universidad Complutense de Madrid
1989-1067,Collectanea Botanica,CC BY,Consejo Superior de Investigaciones Científicas
1989-1385,Revista Obets (Obets: Revista de Ciencias Sociales),CC BY,"Instituto Interuniversitario de Desarrollo Social y Paz, Universidad de Alicante"
1989-1628,Revista del Centro de Investigación Flamenco Telethusa,CC BY-NC-ND,Centro de Investigacion Flamenco Telethusa
1989-1660,International Journal of Interactive Multimedia and Artificial Intelligence (IJIMAI),CC BY,Universidad Internacional de La Rioja (UNIR)
1989-1709,Amaltea: Revista de Mitocrítica (Amaltea: Journal of Myth Criticism),CC BY-NC-ND,Universidad Complutense de Madrid
1989-1806,Limnetica,CC BY-NC,Asociación Ibérica de Limnología
1989-2055,Cirugía Plástica Ibero-Latinoamericana,CC BY-NC-ND,"Sociedad Española de Cirugía Plástica, Reparadora y Estética (SECPRE)"
1989-211X,Naveg@mérica. Revista electrónica editada por la Asociación Española de Americanistas (Naveg@mérica),CC BY-NC-ND,Universidad de Murcia
1989-2128,Anales de Biología,CC BY-NC-ND,Universidad de Murcia
1989-2659,La Razón histórica. Revista hispanoamericana de Historia de las Ideas,CC BY-NC-ND,Universidad de Murcia
1989-3302,Revista Letral,CC BY-NC,Universidad de Granada
1989-3469,Prisma Social,CC BY-NC-ND,Fundación iS+D para la Investigación Social Avanzada
1989-3477,@tic: Revista d'Innovació Educativa (Attic: Revista d'Innovacio Educativa),CC BY-NC-ND,"Servei de Formació Permanent i Innovació Educativa, Universitat de València"
1989-3612,Artefactos (Artefactos: Revista de estudios sobre la ciencia y la tecnología),CC BY-NC-ND,Universidad de Salamanca
1989-3787,Claridades: Revista de Filosofía,CC BY-NC-SA,FICUM
1989-3922,Galicia Clínica,CC BY-NC-ND,Sociedade Galega de Medicina Interna
1989-4007,European Journal of Psychology Applied to Legal Context (EJPALC),CC BY-NC-ND,Sociedad Española de Psicología Jurídica y Forense
1989-4090,Revista Electrónica de AnestesiaR,CC BY-SA,AnestesiaR
1989-4104,Arqueología Iberoamericana,CC BY,Dr. Pascual Izquierdo-Egea
1989-4147,Applied General Topology,CC BY-NC-ND,Universitat Politècnica de València
1989-4554,Revista de Investigación Lingüística,CC BY-NC-ND,Universidad de Murcia
1989-4562,Imafronte,CC BY-NC-ND,Universidad de Murcia
1989-4627,Papeles de Geografí­a (Geography Papers),CC BY-NC,Universidad de Murcia
1989-4635,Cuadernos de Turismo,CC BY-NC-ND,Universidad de Murcia
1989-4643,Revista de Educación Inclusiva,CC BY,Universidad de Jaén
1989-466X,Educatio Siglo XXI,CC BY-NC-ND,Universidad de Murcia
1989-4678,Anales de Filología Francesa,CC BY-NC-ND,"Editum, Ediciones de la Universidad de Murcia"
1989-5097,Entreculturas,CC BY-NC-SA,UMA Editorial
1989-5313,Arqueología de la Arquitectura,CC BY,Consejo Superior de Investigaciones Científicas
1989-5666,Actualidad Jurídica Ambiental,CC BY-NC-ND,Centro Internacional de Estudios de Derecho Ambiental
1989-5909,Cabás,CC BY-NC-ND,"Consejería de Educación, Cultura y Deporte del Gobierno de Cantabria (CRIEME)"
1989-5917,Papeles de Europa (Papers of Europe),CC BY,Universidad Complutense de Madrid
1989-600X,"Comunicación (Revista Internacional de Comunicación Audiovisual, Publicidad y Estudios Culturales)",CC BY-NC-SA,Universidad de Sevilla
1989-6131,International Journal of English Studies (IJES),CC BY-NC-ND,Universidad de Murcia
1989-614X,Estudios Románicos,CC BY-NC-ND,Universidad de Murcia
1989-6182,Antigüedad y Cristianismo,CC BY-SA,"Editum, Ediciones de la Universidad de Murcia"
1989-6204,Revista Murciana de Antropología,CC BY-SA,Universidad de Murcia
1989-631X,Zer (Zer: Journal of Communication Studies),CC BY-NC-ND,University of the Basque Country
1989-6395,PROFESORADO (Profesorado. Revista de Currículum y Formacion del Profesorado),CC BY-NC-ND,"Grupo FORCE, Universidad de Granada"
1989-6409,Revista Científica de Enfermería (RECIEN),CC BY,Universidad de Alicante
1989-6425,Los Libros de la Corte.es (Librosdelacorte.es),CC BY-NC-ND,Universidad Autónoma de Madrid
1989-6840,Atlantis (Atlantis: Journal of the Spanish Association for Anglo-American Studies),CC BY-NC-SA,Asociación Española de Estudios Anglo-Norteamericanos (AEDEAN)
1989-709X,"Psychology, Society & Education",CC BY-NC-SA,UCOPress
1989-7103,Language Value,CC BY-NC,Universitat Jaume I. Department of English Studies
1989-7383,Castilla: Estudios de Literatura,CC BY-NC,Universidad de Valladolid
1989-7413,"Cultura, Ciencia y Deporte (CCD)",CC BY-NC-SA,Universidad Católica San Antonio de Murcia
1989-7790,Medicina y Seguridad del Trabajo (Med Segur Trab (Internet)),CC BY-NC-ND,Escuela Nacional de Medicina del Trabajo
1989-8193,Thélème,CC BY,Universidad Complutense de Madrid
1989-8312,Medievalismo (Revista de la Sociedad Española de Estudios Medievales),CC BY-NC-ND,Universidad de Murcia
1989-8452,Arte y Políticas de Identidad,CC BY-NC-ND,"Editum, Ediciones de la Universidad de Murcia"
1989-8487,Sociología y Tecnociencia (RSST),CC BY-SA,Universidad de Valladolid
1989-8568,Ge-conservación,CC BY-NC-ND,Grupo Español del IIC
1989-8614,Tendencias Pedagógicas,CC BY-NC,Universidad Autónoma de Madrid
1989-8649,Management of Biological Invasions,CC BY,Regional Euro-Asian Biological Invasions Centre (REABIC)
1989-872X,Revista Mediterránea de Comunicación (Mediterranean Journal of Communication),CC BY,Universidad de Alicante
1989-8886,World Rabbit Science,CC BY-NC-SA,Universitat Politècnica de València
1989-8975,Revista de Estudios de la Administración Local y Autonómica (REALA),CC BY-NC,Instituto Nacional de Administración Pública (INAP)
1989-8983,Documentación Administrativa,CC BY-NC,Instituto Nacional de Administración Pública (INAP)
1989-8991,Gestión y Análisis de Políticas Públicas (GAPP),CC BY-NC,Instituto Nacional de Administración Pública (INAP)
1989-9068,WPOM : Working Papers on Operations Management,CC BY,Universidad Politécnica de Valencia
1989-9106,Revista Investigación Educativa (Asociación Interuniversitaria de Investigacion Pedagogica (AIDIPE)),CC BY-NC-ND,Asociación Interuniversitaria de Investigacion Pedagogica (AIDIPE)
1989-9262,Ars Bilduma,CC BY-NC-ND,UPV/EHU Press
1989-9289,El Futuro del Pasado (El Futuro del Pasado: Revista Electrónica de Historia),CC BY-NC-SA,Ediciones Universidad de Salamanca
1989-953X,Graellsia,CC BY,Consejo Superior de Investigaciones Científicas
1989-9572,"Journal for Educators, Teachers and Trainers (JETT)",CC BY-NC-ND,Universidad de Granada
1989-9742,Pedagogía Social: Revista Interuniversitaria,CC BY-NC,Sociedad Iberoamericana de Pedagogía Social
1989-9823,Revista de Historia Moderna (Revista de Historia Moderna: Anales de la Universidad de Alicante),CC BY,Universidad de Alicante
1989-9831,América sin Nombre,CC BY,Universidad de Alicante
1989-9882,Revista Española de Comunicación en Salud,CC BY-ND,Universidad Carlos III de Madrid
1989-9890,Investigaciones Geográficas,CC BY-NC-SA,Instituto Interuniversitario de Geografía (Universidad de Alicante)
1989-9904,"Lucentum (Anales de la Universidad de Alicante. Prehistoria, Arqueología e Historia Antigua)",CC BY,Universidad de Alicante
1989-9912,"Clínica Contemporánea (Clínica Contemporánea: Revista de Diagnóstico Psicológico, Psicoterapia y Salud)",CC BY-NC-ND,Colegio Oficial de Psicólogos de Madrid
1989-9947,Virtual Archaeology Review,CC BY-NC-ND,Universidad Politécnica de Valencia
1989-9971,Alternativas,CC BY,Universidad de Alicante
1989-9998,Feminismo/s,CC BY,Universidad de Alicante
1990-2573,Journal of the European Optical Society-Rapid Publications,CC BY,EDP Sciences
1990-4126,Архитектон (Architecton),CC BY-SA,Ural State University of Architecture and Art
1990-7982,Journal of Nepal Paediatric Society (NEPAS Journal),CC BY,Nepal Paediatric Society
1990-7990,Universidad Médica Pinareña,CC BY,Universidad de Ciencias Médicas de Pinar del Río
1990-8644,Revista Conrado (Conrado),CC BY-NC-ND,Universidad de Cienfuegos
1991-0088,Bangladesh Journal of Pharmacology,CC BY,Bangladesh Pharmacological Society
1991-1696,Africa Research Journal (SAIEE Africa Research Journal),"CC BY, CC BY-NC-ND",South African Institute of Electrical Engineers
1991-2773,Review of International American Studies (RIAS),CC BY-SA,University of Silesia Press
1991-6086,Revista de Investigaciones Marinas,CC BY-NC,Centro de investigaciones Marinas-UH
1991-7074,Banks and Bank Systems,CC BY,"LLC ""CPC ""Business Perspectives"""
1991-9336,European Journal of American Studies (EJAS),CC BY-NC,European Association for American Studies
1991-9395,Revista Cubana de Salud y Trabajo,CC BY-NC-SA,Instituto Nacional de Salud de los Trabajadores
1991-9603,Geoscientific Model Development (GMD),CC BY,Copernicus Publications
1992-0636,Advances in Science and Research (ASR),CC BY,Copernicus Publications
1992-2655,Sociologies,CC BY-NC-ND,Association Internationale des Sociologues de Langue Française
1992-4194,Boletín INFOMIN,CC BY-NC,Centro de Investigaciones para la Industria Minero Metalúrgica (CIPIMM)
1992-6006,Вестник Донского государственного технического университета (Vestnik of Don State Technical University),CC BY,Don State Technical University
1992-8629,Stichproben (Wiener Zeitschrift für kritische Afrikastudien / Vienna Journal of African Studies),CC BY,Stichproben
1992-9315,Nauka v Olimpijskom Sporte (Science in Olympic Sport),CC BY-NC,National University of Physical Education and Sport of Ukraine
1993-078X,Comparative Cytogenetics,CC BY,Pensoft Publishers
1993-2987,Journal of Institute of Medicine (Journal of Institute of Medicine Nepal),CC BY-NC,Institute of Medicine
1993-4904,Contratexto,CC BY,Universidad de Lima
1993-4912,Interfases,CC BY-NC,Universidad de Lima
1993-5153,Geo-spatial Information Science,"CC BY, CC BY-NC",Taylor & Francis Group
1993-6818,"Magazin erwachsenenbildung.at (Magazin erwachsenenbildung.at: Das Fachmedium für Forschung, Praxis und Diskurs)",CC BY,"Bundesministerium für Bildung, Wissenschaft und Forschung"
1993-7288,Community Eye Health Journal,CC BY-NC,"International Centre for Eye Health (ICEH), London"
1993-7997,Physical Education Theory and Methodology (Теорія та методика фізичного виховання),CC BY,OVS LLC
1993-8012,Minería y Geología (Mineria y Geologia),CC BY-NC,"Universidad de Moa ""Dr. Antonio Núñez Jiménez"""
1993-8195,East African Journal of Sciences (EAJS),CC BY-NC,Haramaya University Ethiopia
1994-036X,International Journal of Design (IJDesign),CC BY,Chinese Institute of Design
1994-0408,Nauka i Obrazovanie (Science and Education),CC BY,MGTU im. N.È. Baumana
1994-0424,The Cryosphere (TC),CC BY,Copernicus Publications
1994-2451,Вопросы ономастики (Problems of Onomastics),CC BY-NC-ND,Izdatelstvo Uralskogo Universiteta
1994-2559,Taiwan Journal of Linguistics,CC BY-NC-ND,Crane Publishing Co
1994-2672,Dhaulagiri Journal of Sociology and Anthropology,CC BY-NC,Tribhuvan University
1994-3849,Hortus Botanicus,CC BY,Petrozavodsk State University
1994-7151,Mountain Research and Development (MRD),CC BY,International Mountain Society
1995-4336,SCHOLE (Schole: Ancient Philosophy and the Classical Tradition),CC BY,Novosibirsk State University Press
1995-445X,Investigación Valdizana,CC BY-NC-ND,Universidad Nacional Hermilio Valdizán de Huánuco
1995-4492,Научно-практическая ревматология (Rheumatology: Science and Practice),CC BY,IMA PRESS LLC
1995-5235,Journal of Transport and Supply Chain Management,CC BY,AOSIS
1995-5596,Zanco Journal of Medical Sciences,CC BY-NC-SA,Hawler Medical University
1995-6290,Elecciones (Revista Elecciones),CC BY-NC-ND,Oficina Nacional de Procesos Electorales
1995-7068,Revista Médica Hondureña,CC BY,Colegio Médico de Honduras
1995-7270,Malawi Medical Journal (MMJ),CC BY-NC-ND,"University of Malawi, College of Medicine"
1995-8226,Petroleum Science,CC BY-NC-ND,"KeAi Communications Co., Ltd."
1995-8692,Journal of Eye Movement Research (JEMR),CC BY,Bern Open Publishing
1995-9494,"Revista Médica del Centro Hospital ""Arnaldo Milián Castro""",CC BY-NC-SA,Hospital Universitario Clínico Quirúrgico Arnaldo Milián Castro
1995-9516,Nexo (Nexo Revista Científica),CC BY-NC-ND,Universidad Nacional de Ingeniería
1996-1073,Energies,CC BY,MDPI AG
1996-1421,Jàmbá (Jàmbá: Journal of Disaster Risk Studies),CC BY,AOSIS
1996-1944,Materials,CC BY,MDPI AG
1996-2096,African Human Rights Law Journal,CC BY,Pretoria University Law Press
1996-2452,Podium (Podium: Revista de Ciencia y Tecnología en la Cultura Física),CC BY-NC,"Universidad de Pinar del Río ""Hermanos Saíz Montes de Oca"""
1996-3521,Infodir,CC BY-NC-SA,Editorial de Ciencias Médicas
1996-5389,Perspectiva (Revista Oficial de la Universidad Privada Antonio Guillermo Urrelo),CC BY,Universidad Privada Antonio Guillermo Urrelo
1996-563X,Communicating Astronomy with the Public Journal (CAPjournal),CC BY-NC-ND,International Astronomical Union
1996-7241,Asian Development Review,CC BY,World Scientific Publishing
1996-7489,South African Journal of Science,CC BY,Academy of Science of South Africa
1996-7829,Journal of Water and Health,"CC BY, CC BY-NC-ND",IWA Publishing
1996-8167,Conspectus,CC BY,South African Theological Seminary
1996-840X,South African Journal of Chemistry (SAJChem),CC BY,Sabinet
1996-9465,Drinking Water Engineering and Science (DWES),CC BY,Copernicus Publications
1996-9732,Water Science and Technology,"CC BY, CC BY-NC-ND",IWA Publishing
1996-9759,Water Policy,"CC BY, CC BY-NC-ND",IWA Publishing
1997-003X,Engineering Applications of Computational Fluid Mechanics,"CC BY, CC BY-NC",Taylor & Francis Group
1997-0838,Journal of Stress Physiology & Biochemistry (Zurnal stress-fiziologii i biohimii),CC BY,"""Vikol publishing"" ST Kolesnichenko V.V."
1997-2067,Gomal Journal of Medical Sciences,CC BY-NC,"Gomal Medical College, D.I.Khan, Pakistan"
1997-3322,Torture (Torture Journal: Journal on Rehabilitation of Torture Victims and Prevention of Torture),CC BY-NC-ND,International Rehabilitation Council for Torture Victims
1997-4736,Vestnik MGTU,CC BY,Murmansk State Technical University
1997-6720,"Islas (Revista de la Universidad Central ""Marta Abreu"" de Las Villas)",CC BY-NC,"Universidad Central ""Marta Abreu"" de Las Villas"
1997-7468,Medična Informatika ta Inženerìâ (Medical Informatics and Engineering),CC BY,Ukrmedknyha Publishing House
1997-8731,Tzhoecoen (Revista Científica Tzhoecoen),CC BY-NC-SA,Universidad Señor de Sipán S.A.C.
1997-9665,Морфологія (Morphologia),CC BY,Ministry of Health of Ukraine. Dnipropetrovsk Medical Academy
1998-0345,Al-Rafidain Dental Journal (مجلة الرافدين لطب الأسنان),CC BY,"University of Mosul, College of Dentistry"
1998-3549,Annals of Indian Academy of Neurology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3557,Annals of Thoracic Medicine,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3565,Asian Journal of Transfusion Science,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3581,Indian Journal of Community Medicine,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3603,Indian Journal of Dental Research,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3611,Indian Journal of Dermatology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3689,Indian Journal of Ophthalmology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-376X,Indian Journal of Plastic Surgery,"CC BY, CC BY-NC-ND","Thieme Medical Publishers, Inc."
1998-3794,Indian Journal of Psychiatry,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3808,Indian Journal of Radiology and Imaging,CC BY-NC-ND,Thieme Medical and Scientific Publishers Pvt. Ltd.
1998-3824,Indian Journal of Urology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3891,Journal of Indian Association of Pediatric Surgeons,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3905,Journal of Indian Society of Pedodontics and Preventive Dentistry,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3913,Journal of Medical Physics,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-3921,Journal of Minimal Access Surgery,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-4030,Noise and Health,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-4049,The Saudi Journal of Gastroenterology,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-4057,The Journal of Indian Prosthodontic Society,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-4154,JISR on Computing (Journal of Independent Studies and Research Computing),CC BY-NC,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
1998-4162,JISR Management and Social Sciences & Economics (JISR-MSSE),CC BY,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology
1998-4766,Journal of Human Reproductive Sciences,CC BY-NC-SA,Wolters Kluwer Medknow Publications
1998-605X,Environmental Economics,CC BY,"LLC ""CPC ""Business Perspectives"""
1998-8125,Southern African Business Review,CC BY-SA,Unisa Press
1998-8850,La Calera,CC BY-NC-SA,Universidad Nacional Agraria
1999-253X,ASEAS - Austrian Journal of South-East Asian Studies (ASEAS),CC BY-NC-ND,SEAS - Society for South-East Asian Studies
1999-3110,Botanical Studies,CC BY,SpringerOpen
1999-4893,Algorithms,CC BY,MDPI AG
1999-4907,Forests,CC BY,MDPI AG
1999-4915,Viruses,CC BY,MDPI AG
1999-4923,Pharmaceutics,CC BY,MDPI AG
1999-5903,Future Internet,CC BY,MDPI AG
1999-6187,Chinese Journal of Lung Cancer (Zhongguo fei'ai zazhi),CC BY,Chinese Anti-Cancer Association; Chinese Antituberculosis Association
1999-6217,Journal of Nepal Health Research Council,CC BY-NC,Nepal Health Research Council
1999-6659,Университетское управление: практика и анализ (University Management: Practice and Analysis),CC BY,Ural Federal University
1999-7094,"Journal of Emergency Medicine, Trauma and Acute Care (JEMTAC)",CC BY,Hamad Bin Khalifa University Press
1999-7639,South African Journal of Bioethics and Law (SAJBL),CC BY-NC,South African Medical Association
1999-7671,South African Journal of Child Health (SAJCH),CC BY-NC,South African Medical Association
1999-818X,Слобожанський науково-спортивний вісник,CC BY,Kharkiv State Academy of Physical Culture
1999-8546,Nepal Journal of Obstetrics and Gynaecology (Nepal Journal of Obstetrics & Gynaecology),CC BY-NC,Nepal Society of Obstetricians and Gynaecologists
1999-8627,Опухоли женской репродуктивной системы (Women Reproductive System Tumors),CC BY,ABV-press
2000-1525,Culture Unbound: Journal of Current Cultural Research,CC BY,Linköping University Electronic Press
2000-1967,Upsala Journal of Medical Sciences,CC BY,Upsala Medical Society
2000-2297,Journal of Oral Microbiology,"CC BY, CC BY-NC",Taylor & Francis Group
2000-3560,Moderna Språk,CC BY,Föreningen Tidskriften Moderna språk
2000-4214,Journal of Aesthetics & Culture,"CC BY, CC BY-NC",Taylor & Francis Group
2000-4389,Barnboken: Tidskrift för Barnlitteraturforskning (Journal of Children's Literature Research),CC BY-NC,Svenska Barnboksinstitutet
2000-4508,Education Inquiry (EDUI),"CC BY, CC BY-NC",Taylor & Francis Group
2000-7426,European Journal for Research on the Education and Learning of Adults (RELA),CC BY,Linköping University Electronic Press
2000-7493,Barnelitterært Forskningstidsskrift (Nordic Journal of ChildLit Aesthetics),CC BY,Scandinavian University Press/Universitetsforlaget
2000-7558,Högre Utbildning,CC BY,Cappelen Damm Akademisk NOASP
2000-8066,European Journal of Psychotraumatology (EJPT),CC BY,Taylor & Francis Group
2000-8686,Infection Ecology & Epidemiology (Infection Ecology and Epidemiology),"CC BY, CC BY-NC",Taylor & Francis Group
2000-9666,Journal of Community Hospital Internal Medicine Perspectives (JCHIMP),CC BY-NC,Greater Baltimore Medical Center
2000-9879,Nordidactica: Journal of Humanities and Social Science Education (Nordidactica: Journal of Humanities & Social Science Education),Publisher's own license,Karlstads Universitet
